parameter,hierarchy,x,scale
predation.accessibility.redMullet.prey.sp0,gs,0.1,logit
predation.accessibility.redMullet.prey.sp2,gs,0.9,logit
predation.accessibility.redMullet.prey.sp3,gs,0.9,logit
predation.accessibility.redMullet.prey.sp4,gs,0.9,logit
predation.accessibility.redMullet.prey.sp5,gs,0.55,logit
predation.accessibility.redMullet.prey.sp6,gs,0.05,logit
predation.accessibility.redMullet.prey.sp7,gs,0.6,logit
predation.accessibility.redMullet.prey.sp8,gs,0.6,logit
predation.accessibility.redMullet.prey.sp9,gs,0.9,logit
predation.accessibility.redMullet.prey.sp10,gs,0.9,logit
predation.accessibility.redMullet.prey.sp11,gs,0.55,logit
predation.accessibility.redMullet.prey.sp12,gs,0.05,logit
predation.accessibility.redMullet.prey.sp13,gs,0.6,logit
predation.accessibility.redMullet.prey.sp14,gs,0.6,logit
predation.accessibility.redMullet.prey.sp15,gs,0.6,logit
predation.accessibility.redMullet.prey.sp16,gs,0.6,logit
predation.predPrey.sizeRatio.theta.sp1.stage1,gs,0.00079577,logit
predation.predPrey.sizeRatio.alpha.sp1.stage1,gs,0.07843349,logit
mortality.starvation.rate.max.sp1,gs,0.1,log
species.vonbertalanffy.threshold.age.sp1,gs,0.11666667,logit
species.egg.size.sp1,er,0.1,log
predation.efficiency.critical.sp1,er,0.57,logit
predation.ingestion.rate.max.sp1,er,3.5,log
mortality.natural.rate.sp1,mc,0.917730430133648,log
mortality.natural.larva.rate.Lx.sp1,mc,9.58211752,log
species.sexratio.sp1,hqd,0.5,logit
species.l0.sp1,hqd,0.10093505,logit
species.K.sp1,hqd,0.76,log
species.lInf.sp1,hqd,19.5,log
species.maturity.size.sp1,hqd,0.57220512,logit
species.length2weight.condition.factor.sp1,hqd,0.0065,log
