species,param_id,param_name,mu,mu_star,sigma,n_ee
sp0,1,mortality.additional.rate.sp0,-2.9850109797145e-05,0.0022209936004345,0.00623175772385683,1000
sp0,2,mortality.additional.rate.sp1,5.61309429910481e-05,0.00190411537355341,0.00498960923539394,1000
sp0,3,mortality.additional.rate.sp2,0.00031806638257167,0.00207547825103912,0.00373222111876592,1000
sp0,4,mortality.additional.rate.sp3,9.51836776687218e-05,0.00272926755624107,0.00452310767290917,1000
sp0,5,mortality.additional.rate.sp4,-0.000132756546928346,0.00173355479659465,0.00353212172082558,1000
sp0,6,mortality.additional.rate.sp5,0.000617260517777118,0.0100054124873889,0.0117506008577732,1000
sp0,7,mortality.additional.rate.sp6,0.000112757554590653,0.00197130663392099,0.00536218219277628,1000
sp0,8,mortality.additional.rate.sp7,-0.000352467554737893,0.00193722829496423,0.00748335717233739,1000
sp0,9,mortality.additional.rate.sp8,0.000184837121198303,0.00197776302274681,0.0062613979925757,1000
sp0,10,mortality.additional.rate.sp9,9.84229863324429e-05,0.00193215341531319,0.00649938428058663,1000
sp0,11,mortality.additional.rate.sp10,-4.33316992982194e-05,0.00177004795962993,0.00280648828904546,1000
sp0,12,mortality.additional.rate.sp11,-0.000352748710905613,0.00187812630574459,0.00469414728847494,1000
sp0,13,mortality.additional.rate.sp12,0.00014748294429436,0.00168895870160534,0.00242121369765706,1000
sp0,14,mortality.additional.rate.sp13,-0.000245668562170191,0.00213704948510397,0.00745764949172772,1000
sp0,15,mortality.additional.rate.sp14,-6.46510125879142e-05,0.0019205368354193,0.00334400094943175,1000
sp0,16,mortality.additional.rate.sp15,-0.000184830503047661,0.00175874436738626,0.0035087963158921,1000
sp0,17,fisheries.rate.base.fsh0,-1.17459019798124e-05,0.0113776316414181,0.0141638299841534,1000
sp0,18,fisheries.rate.base.fsh1,-0.000293909998653941,0.00224680519357956,0.00672281273792672,1000
sp0,19,fisheries.rate.base.fsh2,1.9727616276151e-05,0.0146364763025326,0.0157754782766778,1000
sp0,20,fisheries.rate.base.fsh3,-0.000146458683876798,0.00212075716358043,0.00355704637188941,1000
sp0,21,species.catchability.fsh0.sp0,0.000553239882292665,0.0177624594128022,0.0204733708241586,1000
sp0,22,species.catchability.fsh0.sp1,-0.000193114740343839,0.0019044938970387,0.00370100982200623,1000
sp0,23,species.catchability.fsh0.sp2,1.08220006982996e-05,0.00170420319142774,0.00251799482196136,1000
sp0,24,species.catchability.fsh0.sp3,-5.09219123901179e-05,0.00392995592875181,0.00664715729029217,1000
sp0,25,species.catchability.fsh0.sp5,0.000149022020026404,0.00538425919577961,0.0108183092999028,1000
sp0,26,species.catchability.fsh0.sp7,-0.000153992216901853,0.00167271363553847,0.00302428908931893,1000
sp0,27,species.catchability.fsh0.sp8,0.000256424691643464,0.00187030021362102,0.00369192994985373,1000
sp0,28,species.catchability.fsh0.sp9,-9.29909043665711e-05,0.00175443700037919,0.00347240261868181,1000
sp0,29,species.catchability.fsh0.sp10,0.000127817862499172,0.0022896656755081,0.00693707596731408,1000
