species,param_id,param_name,mu,mu_star,sigma,n_ee
sp0,1,mortality.additional.rate.sp0,-0.000114958483800826,0.0821008714543988,0.130693925639198,1000
sp0,2,mortality.additional.rate.sp1,0.000536909937335008,0.0458758862738645,0.0803089577339247,1000
sp0,3,mortality.additional.rate.sp2,0.0038982406178488,0.065354279009727,0.11559177455978,1000
sp0,4,mortality.additional.rate.sp3,-0.00401158759055855,0.0644445073116598,0.113732744398521,1000
sp0,5,mortality.additional.rate.sp4,-8.63108216315487e-05,0.0425260341161972,0.0715298584475141,1000
sp0,6,mortality.additional.rate.sp5,-0.0268807073301228,0.318320139734911,0.481936042154486,1000
sp0,7,mortality.additional.rate.sp6,-0.00775452397992575,0.0467472115092792,0.0819488174744165,1000
sp0,8,mortality.additional.rate.sp7,-0.00120961279663332,0.0473759403318029,0.0803934193473725,1000
sp0,9,mortality.additional.rate.sp8,0.00133992255203143,0.0443287614248156,0.0756952488468405,1000
sp0,10,mortality.additional.rate.sp9,-0.000384081617873076,0.0453401389054944,0.078020790112908,1000
sp0,11,mortality.additional.rate.sp10,0.00115328163033984,0.0471489579349956,0.078443450089606,1000
sp0,12,mortality.additional.rate.sp11,0.000328217662026236,0.0425086669872913,0.0719734527427844,1000
sp0,13,mortality.additional.rate.sp12,-0.00377202374962116,0.0454134122312197,0.0775818399995552,1000
sp0,14,mortality.additional.rate.sp13,-0.00103892288938086,0.0443449107419182,0.0738890777280641,1000
sp0,15,mortality.additional.rate.sp14,-0.00219285827016125,0.0448664201563288,0.075879959572323,1000
sp0,16,mortality.additional.rate.sp15,-0.00372499669446318,0.044973819099925,0.077932675679819,1000
sp0,17,fisheries.rate.base.fsh0,0.00613438374351995,0.616695842477343,0.870119762835885,1000
sp0,18,fisheries.rate.base.fsh1,-0.00302409629335145,0.0492621606739594,0.0844018854965935,1000
sp0,19,fisheries.rate.base.fsh2,0.000239853967926447,0.0876194818512623,0.137113947951514,1000
sp0,20,fisheries.rate.base.fsh3,-0.0002039515632654,0.069039940238222,0.113429783485011,1000
sp0,21,species.catchability.fsh0.sp0,-0.0514627082836433,0.869980278495612,1.20811089445819,1000
sp0,22,species.catchability.fsh0.sp1,0.00337281887879101,0.047638887998751,0.0856550528805594,1000
sp0,23,species.catchability.fsh0.sp2,0.000559081509330858,0.0478491879552214,0.0867050774316811,1000
sp0,24,species.catchability.fsh0.sp3,-0.00304136172250723,0.0829463780800592,0.141291891806383,1000
