param_id,param_name,mu,mu_star,sigma,n_ee
1,mortality.additional.rate.sp0,2392.64511940143,13231.5951922417,31549.8394814839,1000
2,mortality.additional.rate.sp1,1032.13594775412,12796.4721636222,22075.4815740334,1000
3,mortality.additional.rate.sp2,426.486998207743,12913.3799735195,20642.3272971905,1000
4,mortality.additional.rate.sp3,1131.17376812376,14364.8890403873,21404.3981775186,1000
5,mortality.additional.rate.sp4,165.572828232458,12070.5965063749,20818.3564381394,1000
6,mortality.additional.rate.sp5,-1538.37169155529,14157.6859229573,27023.5569229539,1000
7,mortality.additional.rate.sp6,76.5217559601523,12247.9852596184,18982.0456380603,1000
8,mortality.additional.rate.sp7,-324.291933817844,13201.6672300575,25630.065563532,1000
9,mortality.additional.rate.sp8,-506.306439492189,12651.1476755357,23889.0572787746,1000
10,mortality.additional.rate.sp9,955.704209450241,12569.6690102187,21449.7926278812,1000
11,mortality.additional.rate.sp10,735.661767185048,11806.6078194681,18700.574947901,1000
12,mortality.additional.rate.sp11,713.19722171433,12408.3870776913,24259.7133881893,1000
13,mortality.additional.rate.sp12,381.949902027704,12236.2367276283,21059.5994797362,1000
14,mortality.additional.rate.sp13,75.8310719905581,12387.793679829,24018.8078369283,1000
15,mortality.additional.rate.sp14,-953.015652632741,13446.7217953573,23196.7562788681,1000
16,mortality.additional.rate.sp15,-863.501585912213,12134.642077345,20789.47344929,1000
17,fisheries.rate.base.fsh0,1117.75587137911,22476.6413434812,29097.2008505914,1000
18,fisheries.rate.base.fsh1,-1501.40231731559,35060.2580848679,64007.5675688672,1000
19,fisheries.rate.base.fsh2,-161.370604606758,12050.1457267155,19996.0299646198,1000
20,fisheries.rate.base.fsh3,16.7376620350951,14187.7169925271,28166.33623225,1000
21,species.catchability.fsh0.sp0,-466.761088606146,14276.6340923874,21267.4749676719,1000
22,species.catchability.fsh0.sp1,418.200632361965,12461.5913985451,19619.5586519235,1000
23,species.catchability.fsh0.sp2,-2019.4146014519,12984.2831431531,27013.3012616797,1000
24,species.catchability.fsh0.sp3,1.31810452476226,18252.6001913602,29106.9428728797,1000
25,species.catchability.fsh0.sp5,-299.131566171794,12314.6724671396,22439.2758351801,1000
26,species.catchability.fsh0.sp7,-144.844727791245,12762.6618461243,23092.0944714662,1000
27,species.catchability.fsh0.sp8,-1851.18829729236,13882.3816645341,30151.0200608156,1000
28,species.catchability.fsh0.sp9,906.997156775735,12519.7863008537,20980.5896631404,1000
29,species.catchability.fsh0.sp10,341.722965619992,13642.7038753887,22471.4768195385,1000
30,species.catchability.fsh0.sp13,-807.637218323518,12605.492711081,26239.0402608756,1000
31,species.catchability.fsh0.sp14,973.714744514,12363.480603822,22521.0862709347,1000
