species,param_id,param_name,mu,mu_star,sigma,n_ee
sp0,1,mortality.additional.rate.sp0,0.000239286068994598,0.058920216942006,0.0932844839008688,1000
sp0,2,mortality.additional.rate.sp1,0.000269626975929036,0.0322721079018262,0.0564460000269644,1000
sp0,3,mortality.additional.rate.sp2,0.00250921572486487,0.0450590914858549,0.0789253750897606,1000
sp0,4,mortality.additional.rate.sp3,-0.00186663311362466,0.0450344277718014,0.0804698247935812,1000
sp0,5,mortality.additional.rate.sp4,-0.000317427771215553,0.030010831155895,0.0502536361260597,1000
sp0,6,mortality.additional.rate.sp5,-0.0218522364234767,0.22238215948524,0.333806359284017,1000
sp0,7,mortality.additional.rate.sp6,-0.00510272435760673,0.0327740724924147,0.0571542870358378,1000
sp0,8,mortality.additional.rate.sp7,-0.000661471180226934,0.033311735001187,0.0563409273702337,1000
sp0,9,mortality.additional.rate.sp8,0.000996706606880847,0.0315939053018451,0.0550694295210582,1000
sp0,10,mortality.additional.rate.sp9,-0.000849446892027076,0.0321597436386692,0.0555353616699807,1000
sp0,11,mortality.additional.rate.sp10,0.000534586096344942,0.0337024943423507,0.0569917574221516,1000
sp0,12,mortality.additional.rate.sp11,0.000151848831700659,0.0299834334882616,0.050973158172692,1000
sp0,13,mortality.additional.rate.sp12,-0.00198629347174673,0.0321578620251634,0.0553768478548408,1000
sp0,14,mortality.additional.rate.sp13,-0.000480110666119217,0.0315618438512455,0.052537534322975,1000
sp0,15,mortality.additional.rate.sp14,-0.00212878377427625,0.0320443443505609,0.055258322873513,1000
sp0,16,mortality.additional.rate.sp15,-0.00226832477584677,0.0318018732233039,0.0549610977573329,1000
sp0,17,fisheries.rate.base.fsh0,-0.0200856251470981,0.313400880280686,0.597021862022742,1000
sp0,18,fisheries.rate.base.fsh1,-0.00183439707348961,0.0344777039539335,0.0587855425046684,1000
sp0,19,fisheries.rate.base.fsh2,0.000373402091810736,0.0460919352341015,0.0891914055182435,1000
sp0,20,fisheries.rate.base.fsh3,0.000160537892564985,0.0557353182288664,0.110730839572778,1000
sp0,21,species.catchability.fsh0.sp0,-0.010161877462469,0.197206195626011,0.447584542980979,1000
sp0,22,species.catchability.fsh0.sp1,0.0029568054309149,0.0335850875765404,0.0602118883400069,1000
sp0,23,species.catchability.fsh0.sp2,0.000211362668112386,0.0344059180775498,0.0641051835118194,1000
sp0,24,species.catchability.fsh0.sp3,-0.0021831099754446,0.0604292814998074,0.104694465529712,1000
sp0,25,species.catchability.fsh0.sp5,0.00106571717003578,0.118733965428977,0.181597599549599,1000
sp0,26,species.catchability.fsh0.sp7,-0.00142257009296455,0.028847407124179,0.0499880161113525,1000
