param_name,mu_star_mean,order
mortality.larva.rate.SQZ,0.0226582088028843,1
mortality.additional.rate.MAC,0.0222296684629608,2
mortality.larva.rate.COD,0.0222034125437387,3
predation.size.ratio.alpha.COD.stage1,0.0222119541424729,4
length2weight.condition.factor.PLE,0.0222316004534459,5
species.catchability.NT.PLE,0.0222850199618828,6
species.catchability.NT.SOL,0.0221132869927873,7
mortality.additional.rate.HOM,0.022127395557479,8
mortality.additional.rate.LYY,0.0220066780870701,9
maturity.size.ratio.PLE,0.0226489120688878,10
length2weight.condition.factor.MUR,0.0228378344866226,11
species.catchability.OT.BIB,0.0224520182737251,12
length2weight.condition.factor.LYY,0.0229103637713007,13
mortality.additional.rate.POD,0.022287437357758,14
predation.size.ratio.teta.PLE.stage1,0.0229186807002502,15
predation.size.ratio.teta.SQZ.stage1,0.0228654966505907,16
mortality.additional.rate.HER,0.0218269093112585,17
maturity.size.ratio.MUR,0.022088521803005,18
predation.size.ratio.teta.RJC.stage1,0.022286194286389,19
length2weight.condition.factor.SOL,0.022251863335325,20
species.catchability.OT.CTC,0.0218874100440106,21
species.catchability.BT.SQZ,0.0222691267378963,22
species.catchability.OT.SOL,0.0222095895446318,23
resource.accessibility2fish.MeZP,0.022200719521881,24
species.catchability.OT.SQZ,0.0222001607052112,25
resource.accessibility2fish.DIA,0.0221302793438868,26
maturity.size.ratio.SOL,0.0219922022764737,27
resource.accessibility2fish.LB,0.0217677607975828,28
maturity.size.ratio.COD,0.0223680044488838,29
vb.growth.l0.SQZ,0.0220165652299723,30
resource.accessibility2fish.MPHY,0.0219105388928941,31
species.catchability.OT.HER,0.0221733891636995,32
species.catchability.OT.PIL,0.0224663614642028,33
length2weight.condition.factor.COD,0.022435540623637,34
species.catchability.BT.CTC,0.0222574565333254,35
species.catchability.OT.MUR,0.0220936383527209,36
vb.growth.l0.CTC,0.0221665883191646,37
mortality.larva.rate.LYY,0.0223002833196202,38
mortality.larva.rate.POD,0.0224315371243924,39
mortality.additional.rate.PLE,0.0223333073313324,40
species.catchability.BT.HOM,0.0221999469567188,41
mortality.additional.rate.MUR,0.0225922370553826,42
mortality.additional.rate.PIL,0.0224943815110626,43
mortality.additional.rate.CTC,0.022326263212498,44
species.catchability.OT.PLE,0.0225460962834829,45
resource.accessibility2fish.HF,0.0225257951694407,46
predation.size.ratio.teta.COD.stage1,0.0224175731446639,47
species.catchability.OT.HOM,0.0224156386465706,48
species.catchability.BT.SOL,0.0227600718790152,49
