param_name,sp0_mean_TL,sp1_mean_TL,sp2_mean_TL,sp3_mean_TL,sp4_mean_TL,sp5_mean_TL,sp6_mean_TL,sp7_mean_TL,sp8_mean_TL,sp9_mean_TL,sp10_mean_TL,sp11_mean_TL,sp12_mean_TL,sp13_mean_TL,sp14_mean_TL,sp15_mean_TL
1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
3,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
4,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
5,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
6,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
7,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
8,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0
9,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
10,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
11,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
12,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
13,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
14,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
15,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
16,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
17,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0
18,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
19,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
20,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
21,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0
22,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
23,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
24,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0
25,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
26,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
27,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
28,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
29,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
30,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
31,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
32,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
33,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
34,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
35,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
36,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
37,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
38,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
39,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
40,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
41,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
42,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
43,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
44,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
45,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
46,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
47,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
48,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
49,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
50,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
51,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
52,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
53,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
54,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
55,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0
56,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
57,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
58,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
59,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1
60,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
61,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0
62,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
63,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
64,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
65,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
66,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
67,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
68,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
69,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
70,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
71,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1
72,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0
73,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0
74,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1
75,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1
76,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
77,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0
78,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
79,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
80,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1
81,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
82,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
83,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
84,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1
85,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1
86,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
87,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
88,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0
