main_sp,biomass_rel_dominant_class,yield_rel_dominant_class,mean_TL_dominant_class,LFI_dominant_class,mean_length_dominant_class,biomass_rel_dominant_prop,yield_rel_dominant_prop,mean_TL_dominant_prop,LFI_dominant_prop,mean_length_dominant_prop
sp0,,1,2,2,2,0.42,0.5,0.75,0.75,0.58
sp1,4,4,2,2,3,0.73,0.64,0.55,0.64,0.64
sp2,2,,2,3,2,0.55,0.45,0.55,0.73,0.55
sp3,,,2,2,2,0.45,0.45,0.73,0.64,0.55
sp4,,4,3,3,3,0.44,0.56,0.67,1,0.56
sp5,4,4,3,3,3,0.57,0.57,0.79,0.86,0.64
sp6,,4,3,3,3,0.44,0.89,0.67,1,0.56
sp7,4,4,3,2,3,0.83,0.83,0.67,0.75,0.67
sp8,4,4,3,1,2,0.75,0.5,0.92,0.75,0.75
sp9,4,4,2,2,2,0.5,0.5,0.5,0.5,0.5
sp10,2,,2,2,2,0.58,0.42,0.58,0.75,0.58
sp11,,,3,3,3,0.36,0.45,0.73,1,0.64
sp12,4,,3,3,2,0.55,0.45,0.91,1,0.55
sp13,4,4,1,3,2,0.64,0.55,0.64,1,0.82
sp14,4,4,3,3,3,0.73,0.55,0.64,1,0.73
sp15,1,1,2,3,2,0.64,0.73,0.55,0.55,0.64
