param_name,sp0_mean_TL,sp1_mean_TL,sp2_mean_TL,sp3_mean_TL,sp4_mean_TL,sp5_mean_TL,sp6_mean_TL,sp7_mean_TL,sp8_mean_TL,sp9_mean_TL,sp10_mean_TL,sp11_mean_TL,sp12_mean_TL,sp13_mean_TL,sp14_mean_TL,sp15_mean_TL
mortality.additional.rate.sp0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mortality.additional.rate.sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.rate.sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mortality.additional.rate.sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mortality.additional.rate.sp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.rate.sp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.rate.sp6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mortality.additional.rate.sp7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.rate.sp8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.rate.sp9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.rate.sp10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.rate.sp11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.rate.sp12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.rate.sp13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.rate.sp14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mortality.additional.rate.sp15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
species.catchability.fsh0.sp0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
species.catchability.fsh0.sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
