param_name,param_type,param_species,param_label,param_process,param_order
mortality.additional.rate.sp0,Mortality,SYC,mortality.additional.rate.SYC,additional_mortality,1
mortality.additional.rate.sp1,Mortality,MUR,mortality.additional.rate.MUR,additional_mortality,1
mortality.additional.rate.sp2,Mortality,BIB,mortality.additional.rate.BIB,additional_mortality,1
mortality.additional.rate.sp3,Mortality,WHG,mortality.additional.rate.WHG,additional_mortality,1
mortality.additional.rate.sp4,Mortality,POD,mortality.additional.rate.POD,additional_mortality,1
mortality.additional.rate.sp5,Mortality,COD,mortality.additional.rate.COD,additional_mortality,1
mortality.additional.rate.sp6,Mortality,LYY,mortality.additional.rate.LYY,additional_mortality,1
mortality.additional.rate.sp7,Mortality,SOL,mortality.additional.rate.SOL,additional_mortality,1
mortality.additional.rate.sp8,Mortality,PLE,mortality.additional.rate.PLE,additional_mortality,1
mortality.additional.rate.sp9,Mortality,HOM,mortality.additional.rate.HOM,additional_mortality,1
mortality.additional.rate.sp10,Mortality,MAC,mortality.additional.rate.MAC,additional_mortality,1
mortality.additional.rate.sp11,Mortality,HER,mortality.additional.rate.HER,additional_mortality,1
mortality.additional.rate.sp12,Mortality,PIL,mortality.additional.rate.PIL,additional_mortality,1
mortality.additional.rate.sp13,Mortality,SQZ,mortality.additional.rate.SQZ,additional_mortality,1
mortality.additional.rate.sp14,Mortality,CTC,mortality.additional.rate.CTC,additional_mortality,1
mortality.additional.rate.sp15,Mortality,RJC,mortality.additional.rate.RJC,additional_mortality,1
fisheries.rate.base.fsh0,Fisheries,fleet,fleet.catchability.BT,fleet_catchability,1
fisheries.rate.base.fsh1,Fisheries,fleet,fleet.catchability.MT,fleet_catchability,1
fisheries.rate.base.fsh2,Fisheries,fleet,fleet.catchability.NT,fleet_catchability,1
fisheries.rate.base.fsh3,Fisheries,fleet,fleet.catchability.OT,fleet_catchability,1
species.catchability.fsh0.sp0,Fisheries,SYC,species.catchability.BT.SYC,species_catchability,2
species.catchability.fsh0.sp1,Fisheries,MUR,species.catchability.BT.MUR,species_catchability,2
species.catchability.fsh0.sp2,Fisheries,BIB,species.catchability.BT.BIB,species_catchability,2
species.catchability.fsh0.sp3,Fisheries,WHG,species.catchability.BT.WHG,species_catchability,2
species.catchability.fsh0.sp5,Fisheries,COD,species.catchability.BT.COD,species_catchability,2
species.catchability.fsh0.sp7,Fisheries,SOL,species.catchability.BT.SOL,species_catchability,2
species.catchability.fsh0.sp8,Fisheries,PLE,species.catchability.BT.PLE,species_catchability,2
species.catchability.fsh0.sp9,Fisheries,HOM,species.catchability.BT.HOM,species_catchability,2
species.catchability.fsh0.sp10,Fisheries,MAC,species.catchability.BT.MAC,species_catchability,2
species.catchability.fsh0.sp13,Fisheries,SQZ,species.catchability.BT.SQZ,species_catchability,2
species.catchability.fsh0.sp14,Fisheries,CTC,species.catchability.BT.CTC,species_catchability,2
species.catchability.fsh0.sp15,Fisheries,RJC,species.catchability.BT.RJC,species_catchability,2
species.catchability.fsh1.sp9,Fisheries,HOM,species.catchability.MT.HOM,species_catchability,2
species.catchability.fsh1.sp10,Fisheries,MAC,species.catchability.MT.MAC,species_catchability,2
species.catchability.fsh1.sp11,Fisheries,HER,species.catchability.MT.HER,species_catchability,2
species.catchability.fsh1.sp12,Fisheries,PIL,species.catchability.MT.PIL,species_catchability,2
species.catchability.fsh2.sp0,Fisheries,SYC,species.catchability.NT.SYC,species_catchability,2
species.catchability.fsh2.sp5,Fisheries,COD,species.catchability.NT.COD,species_catchability,2
species.catchability.fsh2.sp7,Fisheries,SOL,species.catchability.NT.SOL,species_catchability,2
species.catchability.fsh2.sp8,Fisheries,PLE,species.catchability.NT.PLE,species_catchability,2
species.catchability.fsh3.sp0,Fisheries,SYC,species.catchability.OT.SYC,species_catchability,2
species.catchability.fsh3.sp1,Fisheries,MUR,species.catchability.OT.MUR,species_catchability,2
species.catchability.fsh3.sp2,Fisheries,BIB,species.catchability.OT.BIB,species_catchability,2
species.catchability.fsh3.sp3,Fisheries,WHG,species.catchability.OT.WHG,species_catchability,2
species.catchability.fsh3.sp5,Fisheries,COD,species.catchability.OT.COD,species_catchability,2
species.catchability.fsh3.sp7,Fisheries,SOL,species.catchability.OT.SOL,species_catchability,2
species.catchability.fsh3.sp8,Fisheries,PLE,species.catchability.OT.PLE,species_catchability,2
species.catchability.fsh3.sp9,Fisheries,HOM,species.catchability.OT.HOM,species_catchability,2
species.catchability.fsh3.sp10,Fisheries,MAC,species.catchability.OT.MAC,species_catchability,2
species.catchability.fsh3.sp11,Fisheries,HER,species.catchability.OT.HER,species_catchability,2
species.catchability.fsh3.sp12,Fisheries,PIL,species.catchability.OT.PIL,species_catchability,2
species.catchability.fsh3.sp13,Fisheries,SQZ,species.catchability.OT.SQZ,species_catchability,2
species.catchability.fsh3.sp14,Fisheries,CTC,species.catchability.OT.CTC,species_catchability,2
species.catchability.fsh3.sp15,Fisheries,RJC,species.catchability.OT.RJC,species_catchability,2
species.length2weight.condition.factor.sp0,Growth,SYC,length2weight.condition.factor.SYC,allometric_growth,1
species.length2weight.condition.factor.sp1,Growth,MUR,length2weight.condition.factor.MUR,allometric_growth,1
species.length2weight.condition.factor.sp2,Growth,BIB,length2weight.condition.factor.BIB,allometric_growth,1
species.length2weight.condition.factor.sp3,Growth,WHG,length2weight.condition.factor.WHG,allometric_growth,1
species.length2weight.condition.factor.sp4,Growth,POD,length2weight.condition.factor.POD,allometric_growth,1
species.length2weight.condition.factor.sp5,Growth,COD,length2weight.condition.factor.COD,allometric_growth,1
species.length2weight.condition.factor.sp6,Growth,LYY,length2weight.condition.factor.LYY,allometric_growth,1
species.length2weight.condition.factor.sp7,Growth,SOL,length2weight.condition.factor.SOL,allometric_growth,1
species.length2weight.condition.factor.sp8,Growth,PLE,length2weight.condition.factor.PLE,allometric_growth,1
species.length2weight.condition.factor.sp9,Growth,HOM,length2weight.condition.factor.HOM,allometric_growth,1
species.length2weight.condition.factor.sp10,Growth,MAC,length2weight.condition.factor.MAC,allometric_growth,1
species.length2weight.condition.factor.sp11,Growth,HER,length2weight.condition.factor.HER,allometric_growth,1
species.length2weight.condition.factor.sp12,Growth,PIL,length2weight.condition.factor.PIL,allometric_growth,1
species.length2weight.condition.factor.sp13,Growth,SQZ,length2weight.condition.factor.SQZ,allometric_growth,1
species.length2weight.condition.factor.sp14,Growth,CTC,length2weight.condition.factor.CTC,allometric_growth,1
species.length2weight.condition.factor.sp15,Growth,RJC,length2weight.condition.factor.RJC,allometric_growth,1
species.k.sp0,Growth,SYC,vb.growth.k.SYC,vb_growth_k,2
species.k.sp1,Growth,MUR,vb.growth.k.MUR,vb_growth_k,2
species.k.sp2,Growth,BIB,vb.growth.k.BIB,vb_growth_k,2
species.k.sp3,Growth,WHG,vb.growth.k.WHG,vb_growth_k,2
species.k.sp4,Growth,POD,vb.growth.k.POD,vb_growth_k,2
species.k.sp5,Growth,COD,vb.growth.k.COD,vb_growth_k,2
species.k.sp6,Growth,LYY,vb.growth.k.LYY,vb_growth_k,2
species.k.sp7,Growth,SOL,vb.growth.k.SOL,vb_growth_k,2
species.k.sp8,Growth,PLE,vb.growth.k.PLE,vb_growth_k,2
species.k.sp9,Growth,HOM,vb.growth.k.HOM,vb_growth_k,2
species.k.sp10,Growth,MAC,vb.growth.k.MAC,vb_growth_k,2
species.k.sp11,Growth,HER,vb.growth.k.HER,vb_growth_k,2
species.k.sp12,Growth,PIL,vb.growth.k.PIL,vb_growth_k,2
