species,biomass,yield,meanTL,meanLength
sp1,21425.53,1154.41,4.3,41.72
sp2,96727.29,3957.61,3.37,5.79
sp3,61756.95,2668.33,3.74,26.07
sp4,53420.55,4977.32,4.29,26.38
sp5,170036.07,0,3.49,5.29
sp6,5373.19,227.58,4.48,56.81
sp7,12530.48,0,3.56,7.65
sp8,22670.33,1205.42,3.36,26.21
sp9,123768.46,4400.77,3.53,29.64
sp10,141027.93,6599.51,3.88,20.2
sp11,11495.97,5087.3,3.95,27.5
sp12,196476.52,29653.04,3.29,14.61
sp13,67179.77,3037.37,3.26,9.56
sp14,163151.69,5689.53,3.8,11.42
sp15,159641.81,1856.49,3.72,6.43
sp16,15545.49,355.15,4.34,51.66
