"","lesserSpottedDogfish...0.45","lesserSpottedDogfish","redMullet...0.25","redMullet","pouting...0.25","pouting","whiting...0.25","whiting","poorCod...0.25","poorCod","cod...0.4","cod","dragonet...0.25","dragonet","sole...0.15","sole","plaice...0.25","plaice","horseMackerel","mackerel","herring...0.15","herring","sardine...0.15","sardine","squids...0.125","squids","cuttlefish","thornbackRay"
"lesserSpottedDogfish < 0.45 ",0.045,1.06891374110865e-10,1.0865681236589e-10,0.0463145455078194,9.68850705188204e-11,9.00000000009002e-11,9.68850705188204e-11,9.26173892173644e-11,1.02602255961665e-10,9.80827388997734e-11,1.0387059872202e-10,1.06891374110865e-10,9.26173892173644e-11,0.0484543179759088,9.26173892173644e-11,0.0470820376227567,9.80827388997734e-11,0.0528022946276039,1.00935191156582e-10,9.00000000009002e-11,9.68850705188204e-11,1.06891374110865e-10,1.0387059872202e-10,1.00935191156582e-10,0.0470820376227567,9.26173892173644e-11,0.045,1.0865681236589e-10
"lesserSpottedDogfish ",1.05586145276474e-10,0.83601193481325,0.411659400835783,9.68850705188204e-11,0.405068153247409,0.749166409749905,0.405068153247409,0.855518844199372,0.382280973362493,0.72,0.382280973362493,0.863270123353186,0.382280973362493,1.05586145276474e-10,0.377460962057453,9.41470756244044e-11,0.405068153247409,9.26173892173644e-11,0.393616705406303,0.423269360791518,0.411659400835783,0.400146944824631,0.371071925183405,0.400146944824631,1.02602255961665e-10,0.423269360791518,1.02602255961665e-10,1.05586145276474e-10
"redMullet < 0.25 ",9.41470756244044e-11,0.405068153247409,0.749166409749905,9.00000000009002e-11,0.72,0.423269360791518,0.764897429401397,0.388743714019118,0.801164905474661,0.371071925183405,0.801164905474661,0.434964680228153,0.814442563537357,9.97026920611315e-11,0.790746276520951,1.02602255961665e-10,0.863270123353186,1.05586145276474e-10,0.790746276520951,0.873057681099638,0.72,0.736917846630934,0.790746276520951,0.855518844199372,9.53108976150479e-11,0.823944049817205,9.00000000009002e-11,0.371071925183405
"redMullet ",0.823944049817205,0.36,1.05586145276474e-10,0.736917846630934,1.02602255961665e-10,0.434964680228153,1.06891374110865e-10,0.371071925183405,9.53108976150479e-11,0.371071925183405,9.14864571100749e-11,0.428271910334518,9.00000000009002e-11,0.863270123353186,1.0387059872202e-10,0.72,9.97026920611315e-11,0.863270123353186,1.0387059872202e-10,9.53108976150479e-11,9.80827388997734e-11,1.06891374110865e-10,1.00935191156582e-10,9.14864571100749e-11,0.844619669906894,1.05586145276474e-10,0.823944049817205,0.366309434685877
"pouting < 0.25 ",9.53108976150479e-11,0.434964680228153,0.855518844199372,1.0387059872202e-10,0.801164905474661,0.416623857658198,0.873057681099638,0.405068153247409,0.749166409749905,0.393616705406303,0.844619669906894,0.428271910334518,0.790746276520951,9.53108976150479e-11,0.764897429401397,1.06891374110865e-10,0.72,1.00935191156582e-10,0.855518844199372,0.72,0.844619669906894,0.814442563537357,0.72,0.764897429401397,9.53108976150479e-11,0.764897429401397,9.26173892173644e-11,0.400146944824631
"pouting ",1.02602255961665e-10,0.855518844199372,0.393616705406303,1.02602255961665e-10,0.371071925183405,0.764897429401397,0.428271910334518,0.77623887003132,0.416623857658198,0.844619669906894,0.428271910334518,0.814442563537357,0.416623857658198,9.14864571100749e-11,0.416623857658198,1.00935191156582e-10,0.371071925183405,9.26173892173644e-11,0.388743714019118,0.423269360791518,0.36,0.371071925183405,0.393616705406303,0.371071925183405,9.14864571100749e-11,0.400146944824631,9.26173892173644e-11,0.72
"whiting < 0.25 ",1.06891374110865e-10,0.400146944824631,0.814442563537357,9.26173892173644e-11,0.790746276520951,0.371071925183405,0.855518844199372,0.366309434685877,0.749166409749905,0.371071925183405,0.823944049817205,0.371071925183405,0.863270123353186,1.06891374110865e-10,0.855518844199372,9.97026920611315e-11,0.844619669906894,9.68850705188204e-11,0.844619669906894,0.77623887003132,0.764897429401397,0.844619669906894,0.790746276520951,0.77623887003132,9.97026920611315e-11,0.863270123353186,9.97026920611315e-11,0.388743714019118
"whiting ",9.68850705188204e-11,0.863270123353186,0.400146944824631,9.53108976150479e-11,0.366309434685877,0.736917846630934,0.377460962057453,0.873057681099638,0.416623857658198,0.801164905474661,0.434964680228153,0.873057681099638,0.377460962057453,1.0387059872202e-10,0.393616705406303,9.41470756244044e-11,0.388743714019118,9.68850705188204e-11,0.411659400835783,0.428271910334518,0.423269360791518,0.434964680228153,0.377460962057453,0.371071925183405,1.0387059872202e-10,0.366309434685877,9.26173892173644e-11,0.749166409749905
"poorCod < 0.25 ",1.02602255961665e-10,0.434964680228153,0.749166409749905,1.05586145276474e-10,0.855518844199372,0.382280973362493,0.873057681099638,0.434964680228153,0.863270123353186,0.388743714019118,0.863270123353186,0.400146944824631,0.814442563537357,9.68850705188204e-11,0.823944049817205,9.14864571100749e-11,0.736917846630934,9.41470756244044e-11,0.72,0.736917846630934,0.814442563537357,0.873057681099638,0.863270123353186,0.749166409749905,1.05586145276474e-10,0.863270123353186,9.53108976150479e-11,0.393616705406303
"poorCod ",9.80827388997734e-11,0.764897429401397,0.428271910334518,1.00935191156582e-10,0.382280973362493,0.72,0.405068153247409,0.790746276520951,0.371071925183405,0.873057681099638,0.405068153247409,0.72,0.428271910334518,9.97026920611315e-11,0.382280973362493,9.68850705188204e-11,0.366309434685877,9.41470756244044e-11,0.434964680228153,0.405068153247409,0.423269360791518,0.371071925183405,0.428271910334518,0.434964680228153,9.53108976150479e-11,0.400146944824631,1.00935191156582e-10,0.801164905474661
"cod < 0.4 ",9.97026920611315e-11,0.388743714019118,0.764897429401397,9.26173892173644e-11,0.855518844199372,0.382280973362493,0.790746276520951,0.416623857658198,0.83601193481325,0.400146944824631,0.855518844199372,0.366309434685877,0.823944049817205,1.0387059872202e-10,0.844619669906894,9.14864571100749e-11,0.83601193481325,1.05586145276474e-10,0.855518844199372,0.855518844199372,0.764897429401397,0.736917846630934,0.814442563537357,0.83601193481325,1.0387059872202e-10,0.736917846630934,9.53108976150479e-11,0.400146944824631
"cod ",1.06891374110865e-10,0.873057681099638,0.411659400835783,9.00000000009002e-11,0.416623857658198,0.790746276520951,0.393616705406303,0.790746276520951,0.366309434685877,0.72,0.400146944824631,0.844619669906894,0.371071925183405,9.14864571100749e-11,0.428271910334518,1.0387059872202e-10,0.377460962057453,1.02602255961665e-10,0.36,0.434964680228153,0.382280973362493,0.434964680228153,0.36,0.366309434685877,9.00000000009002e-11,0.382280973362493,1.0387059872202e-10,0.749166409749905
"dragonet < 0.25 ",9.97026920611315e-11,0.428271910334518,0.823944049817205,9.68850705188204e-11,0.83601193481325,0.36,0.873057681099638,0.400146944824631,0.764897429401397,0.382280973362493,0.72,0.366309434685877,0.844619669906894,1.02602255961665e-10,0.844619669906894,1.0387059872202e-10,0.72,1.06891374110865e-10,0.790746276520951,0.764897429401397,0.823944049817205,0.72,0.873057681099638,0.749166409749905,9.80827388997734e-11,0.844619669906894,9.00000000009002e-11,0.411659400835783
